"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C35","CAP_R5.0-10.0_X_16","1283.465mil","2940.945mil","1283.465mil","2940.945mil","1381.89mil","2940.945mil","T","180.00","220uF x 50"
"C36","C0805","3759.843mil","3322.834mil","3759.843mil","3322.835mil","3759.843mil","3360.236mil","T","270.00","10n"
"C45","CAP_R2.5-6.3_X_11.5","1917.323mil","3677.165mil","1917.323mil","3677.165mil","1868.11mil","3677.165mil","T","0.00","220uF x 16"
"C38","C0805","3482.285mil","2327.756mil","3482.285mil","2327.756mil","3519.687mil","2327.756mil","T","180.00","10n"
"C39","C0805","1283.464mil","3011.811mil","1283.465mil","3011.811mil","1320.866mil","3011.811mil","B","180.00","100n"
"C40","C0805","2153.543mil","3488.189mil","2153.543mil","3488.189mil","2153.543mil","3525.591mil","T","270.00","100n"
"C41","C0805","2082.677mil","3488.189mil","2082.677mil","3488.189mil","2082.677mil","3525.591mil","T","270.00","1n"
"C43","C0805","2833.66mil","3455.709mil","2833.66mil","3455.709mil","2833.66mil","3493.111mil","B","270.00","100n"
"C42","C0805","2766.731mil","3455.709mil","2766.731mil","3455.709mil","2766.731mil","3493.11mil","B","270.00","2.2u"
"C44","TANT-D","1696.85mil","3019.685mil","1696.85mil","3019.685mil","1822.835mil","3019.685mil","T","180.00","220uF x 16"
"C47","C0805","1326.772mil","3185.039mil","1326.772mil","3185.039mil","1289.37mil","3185.039mil","T","360.00","1n"
"C48","C0805","2416.339mil","3509.842mil","2416.339mil","3509.842mil","2416.339mil","3547.244mil","B","270.00","100n"
"C49","C0805","2830.709mil","2657.48mil","2830.709mil","2657.48mil","2793.307mil","2657.48mil","T","360.00","10n"
"C50","C0805","3478.346mil","2769.685mil","3478.346mil","2769.685mil","3515.748mil","2769.685mil","T","180.00","10n"
"C51","C0805","3984.252mil","2283.464mil","3984.252mil","2283.465mil","3984.252mil","2320.866mil","T","270.00","10n"
"C52","C0805","3151.575mil","2722.441mil","3151.575mil","2722.441mil","3151.575mil","2685.039mil","T","90.00","100n"
"C53","C0805","3078.74mil","2723.426mil","3078.74mil","2723.425mil","3078.74mil","2686.024mil","T","90.00","100n"
"C54","C0805","3891.733mil","2557.087mil","3891.732mil","2557.087mil","3854.331mil","2557.087mil","T","360.00","220n"
"C55","C0805","2539.37mil","3194.882mil","2539.369mil","3194.882mil","2501.968mil","3194.882mil","T","360.00","22n"
"C56","C0805","3911.418mil","3019.685mil","3911.417mil","3019.685mil","3874.016mil","3019.685mil","T","360.00","10n"
"C57","C0805","3057.087mil","3192.913mil","3057.087mil","3192.913mil","3057.087mil","3155.511mil","T","90.00","2.2u"
"C58","C0805","2724.41mil","2885.827mil","2724.41mil","2885.827mil","2687.008mil","2885.827mil","B","360.00","2.2u"
"C59","C0805","2311.024mil","3070.866mil","2311.024mil","3070.866mil","2311.024mil","3108.268mil","T","270.00","2.2u"
"C60","C0805","3270.669mil","2399.606mil","3270.669mil","2399.606mil","3270.669mil","2362.204mil","T","90.00","10n"
"C61","C0805","3164.37mil","2047.245mil","3164.37mil","2047.244mil","3164.37mil","2009.843mil","T","90.00","10n"
"C62","C0805","3165.354mil","1811.024mil","3165.354mil","1811.024mil","3127.952mil","1811.024mil","T","360.00","1n"
"C63","TANT-A","3507.874mil","1740.157mil","3507.874mil","1740.157mil","3452.756mil","1740.157mil","T","360.00","10uFx10"
"C64","C0805","1618.11mil","1574.803mil","1618.11mil","1574.803mil","1618.11mil","1537.401mil","T","90.00","2.2u"
"C65","C0805","1503.937mil","1732.283mil","1503.937mil","1732.283mil","1541.339mil","1732.283mil","T","180.00","220n"
"C66","C0805","3492.125mil","1669.291mil","3492.126mil","1669.291mil","3529.527mil","1669.291mil","T","180.00","100n"
"C67","C0805","3984.252mil","4037.403mil","3984.252mil","4037.403mil","4021.654mil","4037.403mil","T","180.00","220n"
"C68","C0805","3362.204mil","1570.866mil","3362.204mil","1570.866mil","3362.204mil","1533.464mil","T","90.00","1n"
"C69","C0805","1937.008mil","1996.063mil","1937.008mil","1996.063mil","1899.606mil","1996.063mil","T","360.00","220n"
"C70","C0805","1750.189mil","1996.504mil","1750.189mil","1996.504mil","1787.591mil","1996.504mil","T","180.00","220n"
"C71","C0805","1177.165mil","3917.323mil","1177.165mil","3917.323mil","1177.165mil","3879.921mil","T","90.00","100n"
